Effect_ID,Study_ID,Authors_abbr,Authors_all,PubYear,Title,Field,Hypothesis,Survey_surveillance,Combined_survey_surveillance,Source_population,Study_design,Ecological_cross_level,Outcome_data_source,Outcome_data_source_condensed,Decade,Exposure_level,Combined_exposure_level,Sample_size,Table,Model,Nickname,Outcome,Outcome_type_factor,Exposure_labor_force_participation,Exposure_employment_unemployment,Exposure_income,Exposure_management_professional_roles,Exposure_women_owned_businesses,Exposure_education,Exposure_poverty,Exposure_representation_in_government,Exposure_voter_registration_civic_participation,Exposure_maternal_mortality,Exposure_teen_pregnancy,Exposure_other_health_outcomes,Exposure_women_legal_rights,Exposure_category_employment,Exposure_category_financial,Exposure_category_economic,Exposure_category_education,Exposure_category_political,Exposure_category_legal_rights,Exposure_category_womens_health,Exposure_combo,Exposure_PCA,Exposure_absolute_or_relative,Exposure_reliability_stats,Higher_exposure_means,Num_betas_not_fixed_effects,Num_betas_fixed_effects,Num_predictors_total,Confounders,Model_type,ES_beta,ES_exponentiated_beta,ES_partial_correlation_coefficient,ES_correlation,ES_none_reported,VAR_none_reported,VAR_CI_lower,VAR_CI_upper,VAR_z_score,VAR_p_value_range,VAR_p_value_exact,VAR_standard_error,VAR_t_test,Has_EM_with_interaction_term_not_reported_here,Include_in_regression,GI_and_victimization_was_a_main_question,Num_EMs_from_this_study,Notes
1,1,Aizer,"Aizer, A.",2010,The gender wage gap and domestic violence,Economics,Amelioration,Surveillance,GENERATE,California counties,Serial cross-sectional,Ecological,Hospital records,Hospital records,1990s,County,GENERATE,982,2,"Panel A, col 2",,Assault - any perpetrator,Assault,,,Relative,,,,,,,,,,,,TRUE,GENERATE,,,,,GENERATE,,Relative,,LESS sexism,UNSURE,UNSURE,UNSURE,"Area median income, Percent of population belonging to certain racial/ethnic groups, Rates of other types of crimes, Unemployment rate, immigration, incarceration, number of female and male students, female population, primary care clinics, lagged dependent variable",UNSURE,-0.831,,,,,,,,,,,0.313,,FALSE,No - don't understand model,TRUE,GENERATE,"Calculation note: Counting total betas - 275 (d/t county, race, county x race, county x year, year fixed effects)"
2,2,Avakame,"Avakame, E.F.",1998,How different is violence in the home? An examination of some correlates of stranger and intimate homicide,Criminology,None,Surveillance,GENERATE,All U.S. (surveillance),Serial cross-sectional,Unable to determine,FBI,FBI,1980s,State,GENERATE,50,4,Intimate homicide,,Intimate partner homicide - all,Intimate partner homicide,Relative,,Relative,Relative,Relative,,,Relative,,,,,,TRUE,TRUE,GENERATE,,TRUE,,,GENERATE,,Both/mix,Chronbach's alpha = 0.59 (for the composite),MORE sexism,24,0,24,"Percent of population in certain age brackets, Percent of population belonging to certain racial/ethnic groups, Individual factors (ex. age, race, marital status), Weapon type, being in the south, percent living in metro areas, unemployment, ""legitimate violence"", social disorganization, economic deprivation",Multilevel (UNSURE),-0.097,,,,,,,,,,,0.049,,FALSE,No - don't understand model,TRUE,GENERATE,
3,3,Bailey,"Bailey, W.C.",1999,The socioeconomic status of women and patterns of forcible rape for major U.S. cities,Sociology,Amelioration,Surveillance,GENERATE,"Cities (population > 100,000)",Cross-sectional,Ecological,FBI,FBI,1980s,City,GENERATE,192,4,1,Edu. ~ 1980,Rape - all,Rape,,,,,,Relative,,,,,,,,,,GENERATE,TRUE,,,,GENERATE,,Relative,,MORE sexism,8,0,8,"Poverty rate, Income inequality (gini), Area median income, Percent of population belonging to certain racial/ethnic groups, Divorce rate, Rate of unmarried men or women, Population size ",Linear regression,-1.061,,,,,,,,,,,,-1.148,FALSE,Yes,TRUE,GENERATE,
4,3,Bailey,"Bailey, W.C.",1999,The socioeconomic status of women and patterns of forcible rape for major U.S. cities,Sociology,Amelioration,Surveillance,GENERATE,"Cities (population > 100,000)",Cross-sectional,Ecological,FBI,FBI,1980s,City,GENERATE,192,4,2,Mgmt/prof. ~ 1980,Rape - all,Rape,,,,Relative,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative,,MORE sexism,8,0,8,"Poverty rate, Income inequality (gini), Area median income, Percent of population belonging to certain racial/ethnic groups, Divorce rate, Rate of unmarried men or women, Population size ",Linear regression,-2.381,,,,,,,,,,,,-1.872,FALSE,Yes,TRUE,GENERATE,
5,3,Bailey,"Bailey, W.C.",1999,The socioeconomic status of women and patterns of forcible rape for major U.S. cities,Sociology,Amelioration,Surveillance,GENERATE,"Cities (population > 100,000)",Cross-sectional,Ecological,FBI,FBI,1980s,City,GENERATE,192,4,3,Income ~ 1980,Rape - all,Rape,,,Relative,,,,,,,,,,,,TRUE,GENERATE,,,,,GENERATE,,Relative,,MORE sexism,8,0,8,"Poverty rate, Income inequality (gini), Area median income, Percent of population belonging to certain racial/ethnic groups, Divorce rate, Rate of unmarried men or women, Population size ",Linear regression,-0.776,,,,,,,,,,,,-0.378,FALSE,Yes,TRUE,GENERATE,
6,3,Bailey,"Bailey, W.C.",1999,The socioeconomic status of women and patterns of forcible rape for major U.S. cities,Sociology,Amelioration,Surveillance,GENERATE,"Cities (population > 100,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,192,Paragraph under table 4,1,Edu. ~ 1990,Rape - all,Rape,,,,,,Relative,,,,,,,,,,GENERATE,TRUE,,,,GENERATE,,Relative,,MORE sexism,8,0,8,"Poverty rate, Income inequality (gini), Area median income, Percent of population belonging to certain racial/ethnic groups, Divorce rate, Rate of unmarried men or women, Population size ",Linear regression,-3.347,,,,,,,,,,,,-2.103,FALSE,Yes,TRUE,GENERATE,
7,3,Bailey,"Bailey, W.C.",1999,The socioeconomic status of women and patterns of forcible rape for major U.S. cities,Sociology,Amelioration,Surveillance,GENERATE,"Cities (population > 100,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,192,Paragraph under table 4,2,Mgmt/prof. ~ 1990,Rape - all,Rape,,,,Relative,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative,,MORE sexism,8,0,8,"Poverty rate, Income inequality (gini), Area median income, Percent of population belonging to certain racial/ethnic groups, Divorce rate, Rate of unmarried men or women, Population size ",Linear regression,-2.056,,,,,,,,,,,,-1.311,FALSE,Yes,TRUE,GENERATE,
8,3,Bailey,"Bailey, W.C.",1999,The socioeconomic status of women and patterns of forcible rape for major U.S. cities,Sociology,Amelioration,Surveillance,GENERATE,"Cities (population > 100,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,192,Paragraph under table 4,3,Income ~ 1990,Rape - all,Rape,,,Relative,,,,,,,,,,,,TRUE,GENERATE,,,,,GENERATE,,Relative,,MORE sexism,8,0,8,"Poverty rate, Income inequality (gini), Area median income, Percent of population belonging to certain racial/ethnic groups, Divorce rate, Rate of unmarried men or women, Population size ",Linear regression,-4.316,,,,,,,,,,,,-1.833,FALSE,Yes,TRUE,GENERATE,
9,3,Bailey,"Bailey, W.C.",1999,The socioeconomic status of women and patterns of forcible rape for major U.S. cities,Sociology,Amelioration,Surveillance,GENERATE,"Cities (population > 100,000)",Difference over time in exposure vs. outcome,Ecological,FBI,FBI,1980s,City,GENERATE,192,5,1,Edu. ~ 1980-90 change,Rape - all,Rape,,,,,,Relative,,,,,,,,,,GENERATE,TRUE,,,,GENERATE,,Relative,,MORE sexism,8,0,8,"Poverty rate, Income inequality (gini), Area median income, Percent of population belonging to certain racial/ethnic groups, Divorce rate, Rate of unmarried men or women, Population size ",Linear regression,-1.636,,,,,,,,,,,,-1.094,FALSE,Yes,TRUE,GENERATE,
10,3,Bailey,"Bailey, W.C.",1999,The socioeconomic status of women and patterns of forcible rape for major U.S. cities,Sociology,Amelioration,Surveillance,GENERATE,"Cities (population > 100,000)",Difference over time in exposure vs. outcome,Ecological,FBI,FBI,1980s,City,GENERATE,192,5,2,Mgmt/prof. ~ 1980-90 change,Rape - all,Rape,,,,Relative,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative,,MORE sexism,8,0,8,"Poverty rate, Income inequality (gini), Area median income, Percent of population belonging to certain racial/ethnic groups, Divorce rate, Rate of unmarried men or women, Population size ",Linear regression,-1.077,,,,,,,,,,,,-0.661,FALSE,Yes,TRUE,GENERATE,
11,3,Bailey,"Bailey, W.C.",1999,The socioeconomic status of women and patterns of forcible rape for major U.S. cities,Sociology,Amelioration,Surveillance,GENERATE,"Cities (population > 100,000)",Difference over time in exposure vs. outcome,Ecological,FBI,FBI,1980s,City,GENERATE,192,5,3,Income ~ 1980-90 change,Rape - all,Rape,,,Relative,,,,,,,,,,,,TRUE,GENERATE,,,,,GENERATE,,Relative,,MORE sexism,8,0,8,"Poverty rate, Income inequality (gini), Area median income, Percent of population belonging to certain racial/ethnic groups, Divorce rate, Rate of unmarried men or women, Population size ",Linear regression,7.434,,,,,,,,,,,,2.334,FALSE,Yes,TRUE,GENERATE,
12,4,Baron & Straus,"Baron, L.; Straus, M.A. ",1989,"Rape and its relation to social disorganization, pornography and inequality in the USA",Sociology,Considers multiple,Surveillance,GENERATE,All U.S. (surveillance),Cross-sectional,Ecological,FBI,FBI,1980s,State,GENERATE,50,3,Col 4,,Rape - all,Rape,Relative,,Relative,Relative,,,,Relative,,,,Absolute,,TRUE,TRUE,GENERATE,,TRUE,,TRUE,GENERATE,,Both/mix,Chronbach's alpha = 0.65,LESS sexism,11,0,11,"Income inequality (gini), Percent of population belonging to certain racial/ethnic groups, Percent of population in certain age brackets, Rate of unmarried men or women, Unemployment rate, Urbanness/density, Pornography, Legitimate Violence, Social Disorganization",Linear regression,-0.166,,,,,,,,,,,0.06,,FALSE,Yes,TRUE,GENERATE,
13,5,Boyle et al.,"Boyle, K.M.; Barr, Aa; Clay-Warner, J.",2017,The effects of feminist mobilization and women’s status on universities’ reporting of rape,Sociology,Other - feminist mobilization on college campuses increases rape reporting,Surveillance,GENERATE,"Students at 413 ""top"" colleges in 47 states",Serial cross-sectional,Cross-level,DOE reports from universities,Other (DOE),2010s,State,GENERATE,1644,3,4,,Rape - all,Rape,,,Relative,Absolute,Absolute,,Absolute,,,,,,,TRUE,TRUE,GENERATE,,,,,GENERATE,,Both/mix,Cronbach's alpha = 0.69,LESS sexism,17,0,17,"Year, women's enrollment, urban, private, division 1 college, prestige, religious institution, DOE investigation, AAUS partn",Negative binomial Poisson regression,,1.016,,,,,,,,>0.05,,,,FALSE,"Maybe - impute unknown variance, double-check with provided p-value range",FALSE,GENERATE,
14,6,Brewer & Smith,"Brewer, V.E.; Smith, M.D.",1995,Gender inequality and rates of female homicide victimization across U.S. cities,Criminology,None,Surveillance,GENERATE,"Cities (population > 250,000)",Cross-sectional,Ecological,FBI,FBI,1980s,City,GENERATE,177,2,3,Edu. (highshool),Female homicide - all,Female homicide,,,,,,Relative,,,,,,,,,,GENERATE,TRUE,,,,GENERATE,,Relative - Difference,,MORE sexism,12,0,12,"Divorce rate, Population size, Percent of population in certain age brackets, Southernness, Unemployment rate, Urbanness/density",Linear regression,-0.069,,,,,,,,,>0.05,,,,FALSE,"Maybe - impute unknown variance, double-check with provided p-value range",TRUE,GENERATE,
15,6,Brewer & Smith,"Brewer, V.E.; Smith, M.D.",1995,Gender inequality and rates of female homicide victimization across U.S. cities,Criminology,None,Surveillance,GENERATE,"Cities (population > 250,000)",Cross-sectional,Ecological,FBI,FBI,1980s,City,GENERATE,177,2,3,Edu. (college),Female homicide - all,Female homicide,,,,,,Relative,,,,,,,,,,GENERATE,TRUE,,,,GENERATE,,Relative - Difference,,MORE sexism,12,0,12,"Divorce rate, Population size, Percent of population in certain age brackets, Southernness, Unemployment rate, Urbanness/density",Linear regression,-0.056,,,,,,,,,>0.05,,,,FALSE,"Maybe - impute unknown variance, double-check with provided p-value range",TRUE,GENERATE,
16,6,Brewer & Smith,"Brewer, V.E.; Smith, M.D.",1995,Gender inequality and rates of female homicide victimization across U.S. cities,Criminology,None,Surveillance,GENERATE,"Cities (population > 250,000)",Cross-sectional,Ecological,FBI,FBI,1980s,City,GENERATE,177,2,3,Employ.,Female homicide - all,Female homicide,,Relative,,,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative - Difference,,MORE sexism,12,0,12,"Divorce rate, Population size, Percent of population in certain age brackets, Southernness, Unemployment rate, Urbanness/density",Linear regression,-0.075,,,,,,,,,>0.05,,,,FALSE,"Maybe - impute unknown variance, double-check with provided p-value range",TRUE,GENERATE,
17,6,Brewer & Smith,"Brewer, V.E.; Smith, M.D.",1995,Gender inequality and rates of female homicide victimization across U.S. cities,Criminology,None,Surveillance,GENERATE,"Cities (population > 250,000)",Cross-sectional,Ecological,FBI,FBI,1980s,City,GENERATE,177,2,3,Income,Female homicide - all,Female homicide,,,Relative,,,,,,,,,,,,TRUE,GENERATE,,,,,GENERATE,,Relative - Difference,,MORE sexism,12,0,12,"Divorce rate, Population size, Percent of population in certain age brackets, Southernness, Unemployment rate, Urbanness/density",Linear regression,-0.095,,,,,,,,,>0.05,,,,FALSE,"Maybe - impute unknown variance, double-check with provided p-value range",TRUE,GENERATE,
18,6,Brewer & Smith,"Brewer, V.E.; Smith, M.D.",1995,Gender inequality and rates of female homicide victimization across U.S. cities,Criminology,None,Surveillance,GENERATE,"Cities (population > 250,000)",Cross-sectional,Ecological,FBI,FBI,1980s,City,GENERATE,177,2,3,Mgmt/prof.,Female homicide - all,Female homicide,,,,Relative,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative - Difference,,MORE sexism,12,0,12,"Divorce rate, Population size, Percent of population in certain age brackets, Southernness, Unemployment rate, Urbanness/density",Linear regression,0.003,,,,,,,,,>0.05,,,,FALSE,"Maybe - impute unknown variance, double-check with provided p-value range",TRUE,GENERATE,
19,6,Brewer & Smith,"Brewer, V.E.; Smith, M.D.",1995,Gender inequality and rates of female homicide victimization across U.S. cities,Criminology,None,Surveillance,GENERATE,"Cities (population > 250,000)",Cross-sectional,Ecological,FBI,FBI,1980s,City,GENERATE,177,2,3,Poverty,Female homicide - all,Female homicide,,,,,,,Relative,,,,,,,,TRUE,GENERATE,,,,,GENERATE,,Relative - Difference,,MORE sexism,12,0,12,"Divorce rate, Population size, Percent of population in certain age brackets, Southernness, Unemployment rate, Urbanness/density",Linear regression,0.129,,,,,,,,,>0.05,,,,FALSE,"Maybe - impute unknown variance, double-check with provided p-value range",TRUE,GENERATE,
20,7,Campbell et al.,"Campbell, J.K.; Rothman, E.F.; Shareef, F.; Siegel, M.B. ",2019,"The relative risk of intimate partner and other homicide victimization by state-level gender inequity in the United States, 2000–2017",Public Health,Amelioration,Surveillance,GENERATE,All U.S. (surveillance),Serial cross-sectional,Ecological,FBI,FBI,2000s,State,GENERATE,792,2,2,IPH,Intimate partner homicide - all,Intimate partner homicide,Relative,,Relative,,Relative,,,Relative,,,Absolute,Absolute,,TRUE,TRUE,GENERATE,,TRUE,,TRUE,GENERATE,,Both/mix,,MORE sexism,15,17,32,"Poverty rate, Income inequality (gini), Percent of population in certain age brackets, Percent of population belonging to certain racial/ethnic groups, Divorce rate, Firearm ownership, Rates of other types of crimes, Property crime rate, population, pop density, marriage rate, incarceration rate",Negative binomial Poisson regression,,1.09,,,,,1.03,1.16,,,,,,FALSE,Yes,TRUE,GENERATE,
21,7,Campbell et al.,"Campbell, J.K.; Rothman, E.F.; Shareef, F.; Siegel, M.B. ",2019,"The relative risk of intimate partner and other homicide victimization by state-level gender inequity in the United States, 2000–2017",Public Health,Amelioration,Surveillance,GENERATE,All U.S. (surveillance),Serial cross-sectional,Ecological,FBI,FBI,2000s,State,GENERATE,792,2,3,Female IPH,Intimate partner homicide - female victim,Intimate partner homicide,Relative,,Relative,,Relative,,,Relative,,,Absolute,Absolute,,TRUE,TRUE,GENERATE,,TRUE,,TRUE,GENERATE,,Both/mix,,MORE sexism,15,17,32,"Poverty rate, Income inequality (gini), Percent of population in certain age brackets, Percent of population belonging to certain racial/ethnic groups, Divorce rate, Firearm ownership, Rates of other types of crimes, Property crime rate, population, pop density, marriage rate, incarceration rate",Negative binomial Poisson regression,,1.08,,,,,1.02,1.15,,,,,,FALSE,Yes,TRUE,GENERATE,
22,7,Campbell et al.,"Campbell, J.K.; Rothman, E.F.; Shareef, F.; Siegel, M.B. ",2019,"The relative risk of intimate partner and other homicide victimization by state-level gender inequity in the United States, 2000–2017",Public Health,Amelioration,Surveillance,GENERATE,All U.S. (surveillance),Serial cross-sectional,Ecological,CDC,CDC,2000s,State,GENERATE,792,2,5,Female homicide,Female homicide - all,Female homicide,Relative,,Relative,,Relative,,,Relative,,,Absolute,Absolute,,TRUE,TRUE,GENERATE,,TRUE,,TRUE,GENERATE,,Both/mix,,MORE sexism,15,17,32,"Poverty rate, Income inequality (gini), Percent of population in certain age brackets, Percent of population belonging to certain racial/ethnic groups, Divorce rate, Firearm ownership, Rates of other types of crimes, Property crime rate, population, pop density, marriage rate, incarceration rate",Negative binomial Poisson regression,,1.07,,,,,1.03,1.12,,,,,,FALSE,Yes,TRUE,GENERATE,
23,8,D'Alessio & Stolzenberg,"D'Alessio, S.J.; Stolzenberg, L. ",2010,The sex ratio and male-on-female intimate partner violence,Criminology,Other - sex ratio,Surveillance,GENERATE,"Cities (population > 50,000)",Cross-sectional,Ecological,FBI,FBI,2000s,City,GENERATE,134,2,3,,IPV,IPV,,,Relative,,,,,,,,,,,,TRUE,GENERATE,,,,,GENERATE,,Relative,,MORE sexism,9,0,9,"Income inequality (gini), Sex ratio, Concentrated disadvantage, male med income, female labor force participation, racial segregation, pop density, southern city",Linear regression,202.555,,,,,,,,,,,,1.297,FALSE,Yes,FALSE,GENERATE,
24,9,DeWees & Parker,"DeWees, M.A.; Parker, K.F.",2003,The political economy of urban homicide: assessing the relative impact of gender inequality on sex-specific victimization,Sociology,Considers multiple,Surveillance,GENERATE,"Cities (population > 100,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,165,1,2,Political,Female homicide - all,Female homicide,,,,,,,,Relative,,,,,,,,GENERATE,,TRUE,,,GENERATE,,Relative,,LESS sexism,6,0,6,"Divorce rate, Population size, Poverty rate, Racial inequality, Southernness",Seemingly Unrelated Regression,0.021,,,,,,,,,,,,0.29,FALSE,Yes,TRUE,GENERATE,This study uses Seemingly Unrelated Regression. We're treating their regression output (betas & variance) in the same was as the other studies.
25,9,DeWees & Parker,"DeWees, M.A.; Parker, K.F.",2003,The political economy of urban homicide: assessing the relative impact of gender inequality on sex-specific victimization,Sociology,Considers multiple,Surveillance,GENERATE,"Cities (population > 100,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,165,1,3,Edu.,Female homicide - all,Female homicide,,,,,,Relative,,,,,,,,,,GENERATE,TRUE,,,,GENERATE,,Relative,,MORE sexism,6,0,6,"Divorce rate, Population size, Poverty rate, Racial inequality, Southernness",Seemingly Unrelated Regression,-0.88,,,,,,,,,,,,-4.06,FALSE,Yes,TRUE,GENERATE,
26,9,DeWees & Parker,"DeWees, M.A.; Parker, K.F.",2003,The political economy of urban homicide: assessing the relative impact of gender inequality on sex-specific victimization,Sociology,Considers multiple,Surveillance,GENERATE,"Cities (population > 100,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,165,1,4,Employ.,Female homicide - all,Female homicide,,Relative,,,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative,,LESS sexism,6,0,6,"Divorce rate, Population size, Poverty rate, Racial inequality, Southernness",Seemingly Unrelated Regression,0.276,,,,,,,,,,,,1.41,FALSE,Yes,TRUE,GENERATE,
27,9,DeWees & Parker,"DeWees, M.A.; Parker, K.F.",2003,The political economy of urban homicide: assessing the relative impact of gender inequality on sex-specific victimization,Sociology,Considers multiple,Surveillance,GENERATE,"Cities (population > 100,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,165,1,5,Mgmt/prof.,Female homicide - all,Female homicide,,,,Relative,,,,,,,,,,TRUE,,GENERATE,,,,,GENERATE,,Relative,,MORE sexism,6,0,6,"Divorce rate, Population size, Poverty rate, Racial inequality, Southernness",Seemingly Unrelated Regression,-0.194,,,,,,,,,,,,-1.65,FALSE,Yes,TRUE,GENERATE,
28,9,DeWees & Parker,"DeWees, M.A.; Parker, K.F.",2003,The political economy of urban homicide: assessing the relative impact of gender inequality on sex-specific victimization,Sociology,Considers multiple,Surveillance,GENERATE,"Cities (population > 100,000)",Cross-sectional,Ecological,FBI,FBI,1990s,City,GENERATE,165,1,6,Service jobs,Female homicide - all,Female homicide,,,,,,,,,,,,,,,,GENERATE,,,,,GENERATE,,Relative,,MORE sexism,6,0,6,"Divorce rate, Population size, Poverty rate, Racial inequality, Southernness",Seemingly Unrelated Regression,0,,,,,,,,,,,,1.02,FALSE,Yes,TRUE,GENERATE,
